coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"76.9667,11",Sun Jul 19 07:00:54 +0000 2020,SNS SNSDesignThinkers snsinstitutions trending Coimbatore covid19 snsce snsct snsrcas,,https://www.instagram.com/p/CC0IP5Dgu12/?igshid=1xsheuusw9hz8,0,1284745009774780416,,,,en,"Coimbatore, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SNS now open for 2020 Online Admissions

#SNS #SNSDesignThinkers #snsinstitutions #trending #Coimbatore #covid19 #snsce #snsct #snsrcas @ Coimbatore, Tamil Nadu https://t.co/0JYTML6sDL",https://twitter.com/snsinstitutions/status/1284745009774780416,Mon Mar 21 03:22:53 +0000 2011,snsinstitutions,false,"1st Indian Autonomous Institution to implement Design Thinking Curriculum in Education.

Visit https://t.co/zKGHXCuC9M for more details
Admission: https://t.co/q6f5tiTAOz",238,83,11,0,India,SNS Institutions,snsinstitutions,567,,http://www.snsgroups.com,false
"146.1402888,-37.39484641",Sun Jul 19 05:35:57 +0000 2020,,,https://www.instagram.com/p/CCz-h07gEKvulx6W-Z7Dz5MJImhBYBI_CI7Q-c0/?igshid=1xggfdpo04ybd,1,1284723631696707586,,,,en,"Enochs Point, Victoria",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",COVID and 2020 has had wide reaching impacts of everyone. We've all had our individual trials. The Coastrek walk for Beyond Blue was postponed in May and is now on Sept 4th. Our team has… https://t.co/n9nGr7D441,https://twitter.com/_katie_palmer/status/1284723631696707586,Wed Aug 03 01:12:20 +0000 2016,_katie_palmer,false,"Physiotherapist & PhD Candidate ~ Monash Health / University ~
Engagement in Heart Failure Rehab ~ Kiwi 🇳🇿  || All views are my own ||",99,43,74,3,"Melbourne, Victoria",Katie Palmer,_katie_palmer,29,,,false
"25.3269,37.4472",Sun Jul 19 05:41:11 +0000 2020,mrsrodial,,https://www.instagram.com/p/CCz_IFGBisd/?igshid=keu8volrdesc,2,1284724948112678922,,,,en,"South Aegean, Greece",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","All worth it...💋 travel isn’t easy post lockdown with the masks, sanitising everything and social distancing but after 6 months of not being able to travel, it is all worth it. 🙏🏽 #mrsrodial @ Míkonos https://t.co/t61vuab8Zz",https://twitter.com/MrsRodial/status/1284724948112678922,Thu Dec 30 19:31:58 +0000 2010,MrsRodial,false,"I’m here to inspire, entertain, motivate 🙌🏽 Best Selling Author/Entrepreneur (Rodial & NIP+FAB)- How to Be an Overnight Success/How To Make It Happen books 📚",2813,6888,406,141,London,Maria Hatzistefanis,MrsRodial,21371,,http://hyperurl.co/zzxufu,false
"121.56171325,25.0492519",Sun Jul 19 05:01:23 +0000 2020,shelterinplace socialdistancing facebook,,https://www.instagram.com/p/CCz6kqbHOwv/?igshid=1vbmwnxosqos6,0,1284714933041737728,,,,en,"Taipei City, Taiwan",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Day 129 of #shelterinplace #socialdistancing and 627 days without a #facebook account. Twitter dot com has been a refuge of sorts, except the void has gotten louder with insufferable morons and many people who… https://t.co/C5G7pvfi6d",https://twitter.com/MetroShadowOne/status/1284714933041737728,Wed Mar 04 18:48:20 +0000 2009,MetroShadowOne,false,"The embodiment of ""Moleman in the Morning.""

Smartass Since 1985. Black today, Black Always. #YWNA #Dodgers #changethegame",99361,1961,4243,114,Chicago 🔁 Bay Area,Maybe: Davey ✊🏾🚇🍗 (He/Him/Y'all),MetroShadowOne,130013,,http://instagram.com/metroshadowone,false
"-109.57361111,36.18694444",Sun Jul 19 05:30:57 +0000 2020,,,https://www.instagram.com/p/CCz99XohpyD/?igshid=1nll7xpxsuvrb,0,1284722374512971777,,,,en,"Arizona, USA",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Covid-19 is going to drive me crazy @ Navajo Nation https://t.co/DOGTzntOLp,https://twitter.com/CreepyHorrorGal/status/1284722374512971777,Wed Aug 04 22:54:12 +0000 2010,CreepyHorrorGal,false,#creepy #horror #gore #black #ighorror #horrorfamily #dailyhorror #lgbt #serialkiller #horrorfan #lds #video #80s #arizona #memes #halloween #bisexual,78,3101,501,172,"Chinle, AZ",✿ Creepy Horror Gal ✿,CreepyHorrorGal,39447,,http://www.facebook.com/creepyhorrorgal,false
"-73.56725453,45.75975883",Sun Jul 19 06:38:01 +0000 2020,,,http://dlvr.it/Rbw8Rs,0,1284739253088301056,,,,en,"Mascouche, Québec",false,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: 2 more deaths and 21 new cases of Covid-19: ... with Covid 19 have died and there are 21 new confirmed cases in Ireland. The Department of Health's latest figures show the death toll has reached 1,753 and ... Acting Chief Medical… https://t.co/xe2rytXBB6",https://twitter.com/pairsonnalitesN/status/1284739253088301056,Wed Sep 15 15:55:47 +0000 2010,pairsonnalitesN,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1484,1328,108,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,pairsonnalitesN,787710,,https://edu.stigmabase.org/,false
"-2.11888075,53.27565219",Sun Jul 19 06:33:25 +0000 2020,,,https://www.instagram.com/p/CC0FGgBpE4p/?igshid=2cosg2zjxt1s,1,1284738093069873153,,,,en,"Macclesfield, England",false,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","COVID UPDATE
 
As you will have seen we have had the amazing news from the FA that Grassroots Football will shortly be able to return, if you haven’t yet seen this – please find the link to the guidance here;… https://t.co/YTPtGoGr4Q",https://twitter.com/tjfc1987/status/1284738093069873153,Wed Jan 29 13:29:04 +0000 2020,tjfc1987,false,"Official Twitter account for Tytherington Juniors FC, grassroots football club based in Macclesfield, Cheshire.

#weonlydopositive",25,95,444,0,"Macclesfield, Cheshire",Tytherington Juniors FC,tjfc1987,193,,https://www.facebook.com/tjfc1987,false
"-122.233,50.7333",Sun Jul 19 06:15:55 +0000 2020,anxious anxiety anxietyrelief sewing handsewing masks mask covid covid19,,https://www.instagram.com/p/CC0DGl3n56_/?igshid=16h2nl0otsyjp,0,1284733690786930688,,,,en,"Slosh 1, British Columbia",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",I'm making more masks.. surgery Monday morning.. its Saturday night... one more surgery hope no more surgeries for a long time!! #anxious #anxiety #anxietyrelief  #sewing #handsewing #masks #mask #covid #covid19… https://t.co/1QAHac95JE,https://twitter.com/Stray_violets74/status/1284733690786930688,Tue Sep 20 22:03:36 +0000 2011,Stray_violets74,false,I'm a runner. I am in my 3rd year of running half-marathons. Training for a full marathon now :) I love to swim and I love cats !! & Need 4 Speed!!,1792,984,1066,30,"Seton Lake 5, British Columbia",Liv Copeland,Stray_violets74,5702,,,false
"-1.79390365,53.83533103",Sun Jul 19 06:21:44 +0000 2020,,,https://www.instagram.com/p/CC0DxNUHW3q/?igshid=18dmp9ef97sl9,0,1284735154053877762,,,,en,"Bradford, England",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Another amazing lockdown paint at home plate! @ Salt Pots Ceramic Studio https://t.co/9pfzMLJrYe,https://twitter.com/SaltPotsNat/status/1284735154053877762,Wed Jul 27 10:17:29 +0000 2011,SaltPotsNat,false,Salt Pots is Saltaire's paint your own pottery studio and it is run by me - craft addict chocolate and cava lover,252,948,707,13,"Saltaire, West Yorkshire",Salt Pots,SaltPotsNat,3057,,http://www.saltpots.co.uk,false
"-96.53649669,30.98512545",Sun Jul 19 05:39:42 +0000 2020,,,https://www.instagram.com/p/CCz-9LkJGSP/?igshid=nqq4nj4ta6dy,0,1284724575058767873,,,,en,"Texas, USA",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Let’s not have this summer go to waste!Social Distancing at a Drive Thru Zoo!! @ Franklin Drive Thru Safari https://t.co/gTrenQKZBM,https://twitter.com/inareal91/status/1284724575058767873,Thu Apr 01 20:19:41 +0000 2010,inareal91,false,"YouTuber on the come up, new channel in the making. Lets talk about being plus size and the life around it. Clothes, Dating, Confidence and everything else.",5305,78,211,1,"Houston, Texas",Ina Real,inareal91,3572,,https://youtu.be/Y5bArFB4MUY,false
"-118.40033,34.07347",Sun Jul 19 05:46:54 +0000 2020,santamonicablvd beverlyhills saturdayafternoon,,https://www.instagram.com/p/CCz_x_rBiAV/?igshid=sfk485jp71gf,0,1284726385567772678,,,,en,"Beverly Hills, CA",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Saturday late afternoon...on the way home from work ..🙂👍Have  A Great Weekend to Everyone!
#santamonicablvd
#beverlyhills 
#saturdayafternoon @ Beverly Hills, California https://t.co/xzWbGJvqsz",https://twitter.com/culu2012/status/1284726385567772678,Mon May 21 09:16:52 +0000 2012,culu2012,false,Not much to say 😊.Just taking pictures here and there when having a chance !,434,26,84,0,Los Angeles,Cuong,culu2012,2692,,http://www.instagram.com/kong_lu_weho,false
"-118.2445,34.0564",Sun Jul 19 06:38:20 +0000 2020,,,https://www.instagram.com/p/CC0FqveH2tc/?igshid=ox02eyy63axw,0,1284739330083131392,,,,en,"Los Angeles, CA",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","It depends on what your ultimate objective in life is. You could be struggling financially due to pandemic, but don't lose hope. 

You have to use just one technique while starting and be consistent on it.

Like our… https://t.co/vTsY1iQAIl",https://twitter.com/Chirantan_Raut/status/1284739330083131392,Mon Oct 19 06:34:02 +0000 2009,Chirantan_Raut,false,Ask me anything about Activity Tracking Apps | Documenting my business | Blogger,846,26,115,0,"New York, USA",Chirantan Raut,Chirantan_Raut,584,,https://techfoodhealth.com,false
"-97.1492,32.8851",Sun Jul 19 05:07:55 +0000 2020,jesus throne covid19,,https://www.instagram.com/p/CCz7UfepYs6/?igshid=1an819b1vq3b6,0,1284716575107493888,,,,en,"Colleyville, TX",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#jesus is on the #throne not #covid19 @ Colleyville, Texas https://t.co/i85Dt8mpCG",https://twitter.com/AdamPatterson79/status/1284716575107493888,Tue Dec 07 07:09:46 +0000 2010,AdamPatterson79,false,I live my life for Jesus & family. I love to encourage people and watch their success. I love the local church body. I Live to Give!,10,196,195,4,"Dallas, TX",Dadlife7,AdamPatterson79,1601,,http://www.dadlife7.com,false
"85.1267,25.6019",Sun Jul 19 05:14:17 +0000 2020,SocialDistancing DeepButNotSoDeep,,https://www.instagram.com/p/CCz8DNvnryE/?igshid=3d9ezv3ie5wy,0,1284718179751690240,,,,en,"Patna, India",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#SocialDistancing had different connotations in past. 

Man always tries to keep a safe distance from others in his mind at least :p #DeepButNotSoDeep @ Patna, India https://t.co/m5cZIwKqBs",https://twitter.com/BihariBritish/status/1284718179751690240,Mon Mar 08 14:17:40 +0000 2010,BihariBritish,false,"I try and say things a bit differently.
#PatnaTales #SocialMediaBlog #SonBlog #ShivaLove #DigitalLove #NewsLove #SonLove #PhotoLove #BiharTales",66488,1893,3563,254,"Patna, India",Pritam Kumar Sinha,BihariBritish,242176,,,false
"-87.632496,41.883222",Sun Jul 19 05:21:30 +0000 2020,pitchfork pitchforkmusicfestival westloop chicago,,https://www.instagram.com/p/CCz8izsHWfn/?igshid=19r1p5s06nbcn,1,1284719993444278273,,,,en,"Chicago, IL",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","when covid cancels pitchfork, @realauntsharon delivers. full vip experience, 6 feet apart
.
.
.
#pitchfork  #pitchforkmusicfestival #westloop #chicago @ Chicago, Illinois https://t.co/xjdjz1C8ji",https://twitter.com/natshov/status/1284719993444278273,Sat Jul 10 22:36:46 +0000 2010,natshov,false,😎😎😎,5573,135,503,1,"Akron, OH",Natalie S.,natshov,5191,,,false
"-117.81883,33.74416",Sun Jul 19 04:47:46 +0000 2020,theochandings sweeteliajoy wearamask wearingiscaring,,https://www.instagram.com/p/CCz5A3YAXCE/?igshid=pc96okmqykkm,0,1284711506572083200,,,,en,"Tustin, CA",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Pandemic &amp; palm trees... 📷: kaygr878 #theochandings #sweeteliajoy #wearamask #wearingiscaring @ Tustin, California https://t.co/uMWgnH4Hs1",https://twitter.com/DJBigPaulie/status/1284711506572083200,Tue Feb 17 04:44:50 +0000 2009,DJBigPaulie,false,"Husband, Father, Wannabe Music Supervisor/Playlist Curator",155,617,1985,20,"Tustin, CA",Paal Handing,DJBigPaulie,2034,,,false
