coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"-85.88310701,37.72971543",Fri Jul 03 05:08:03 +0000 2020,,https://twitter.com/Insure_Kentucky/status/1278918403172921350/photo/1,https://www.kentucky.com/news/health-and-medicine/article243953777.html?utm_source=dlvr.it&utm_medium=twitter#storylink=rss,0,1278918403172921350,,,,en,"Elizabethtown, KY",false,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Free Insurance Quote Kansas woman with 15% survival rate, recovers from COVID-19 https://t.co/k36WWuOfjZ Call 270-360-9600 https://t.co/SSO30mIIt1",https://twitter.com/Insure_Kentucky/status/1278918403172921350,Tue Sep 25 16:52:05 +0000 2018,Insure_Kentucky,false,"Olsommer-Clarke Insurance Group, your hometown choice in Elizabethtown and all of Central Kentucky. “Our service shines above the rest” Call 270-360-9600",0,676,26,1,"Elizabethtown, Kentucky",Olsommer-Clarke Kentucky,Insure_Kentucky,3736,,https://kentucky.olsommerclarke.com/,false
"-73.56725453,45.75975883",Fri Jul 03 04:45:33 +0000 2020,,,http://dlvr.it/RZs4cg,0,1278912743932715008,,,,en,"Mascouche, Québec",false,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: An Taoiseach Micheál Martin praises Dr Tony Holohan for his leadership during the pandemic: Ireland's Chief Medical Officer Dr Tony Holohan has announced this ... The Health Protection Surveillance Centre (HSPC) has today, July 2, been ... https://t.co/Jc2SJA1Top",https://twitter.com/pairsonnalitesN/status/1278912743932715008,Wed Sep 15 15:55:47 +0000 2010,pairsonnalitesN,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1484,1328,108,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,pairsonnalitesN,787704,,https://edu.stigmabase.org/,false
"-79.02108,43.85077",Fri Jul 03 04:42:55 +0000 2020,,,https://www.instagram.com/p/CCKrvbfga30/?igshid=1k6os8b7uo9st,0,1278912080582717440,,,,en,"Ajax, Ontario",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","My own Birthday selfie 
Photoshoot  covid style
Photographer HNDRSN @ Ajax, Ontario https://t.co/EaIiUbikKr",https://twitter.com/project2k2/status/1278912080582717440,Mon Apr 13 15:37:13 +0000 2009,project2k2,false,"fashion&event photographer
technical telecom analyst
Videographer/jib operator
life is  worth living once committed to GOD
follow me if you follow HIM",33,179,671,9,Tdot (Toronto),hndrsn marshall,project2k2,1254,,http://www.projectmanfilms.com,false
"140.76734148,-37.80628734",Fri Jul 03 04:38:27 +0000 2020,unisa unisamountgambier,https://twitter.com/IanMcKayUniSA/status/1278910953992663041/photo/1,http://ow.ly/6wYv50AoEP7,0,1278910953992663041,,,,en,"Mount Gambier, South Australia",false,0,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","As part of SA's post COVID economic recovery @UniversitySA 's Future Industries Accelerator program allows businesses to explore product development ideas and technical challenges by connecting them with #unisa expertise.  Check out
https://t.co/cE8GdIlNLH #unisamountgambier https://t.co/5e00unbkWm",https://twitter.com/IanMcKayUniSA/status/1278910953992663041,Mon Dec 04 06:11:58 +0000 2017,IanMcKayUniSA,false,"Regional Manager: Mount Gambier for UniSA; Australia's University of Enterprise. #UniSAMtGambier
Experienced regional educator | committed to regional Australia",1583,169,221,2,"Mount Gambier, South Australia",Ian McKay,IanMcKayUniSA,1304,,http://www.unisa.edu.au/mountgambier,false
"174.76460695,-36.84719746",Fri Jul 03 06:00:42 +0000 2020,Covid19 Deathnir China DeadWitch Animalhead GlassThrone CloseToTheBone FreedomFest2020,,https://www.instagram.com/p/CCK0pHugZtl/?igshid=9wmhvyvfxl2w,0,1278931655928041473,,,,en,"Auckland, New Zealand",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Right before #Covid19 became a thing, #Deathnir toured #China for their second time.

Tonight they're headlining #DeadWitch with #Animalhead (up first), #GlassThrone &amp; #CloseToTheBone

$20 entry fee #FreedomFest2020… https://t.co/P87APmq05o",https://twitter.com/DingDongLounge3/status/1278931655928041473,Wed Jan 23 02:59:30 +0000 2013,DingDongLounge3,false,"Playing your favorite Rock'n'Roll tunes and nothing else 4 nights a week here in Auckland city,New Zealand!!",269,381,384,3,New Zealand,Ding Dong Lounge NZ,DingDongLounge3,758,,http://www.dingdongloungenz.com,false
"-95.3694,29.7602",Fri Jul 03 05:06:20 +0000 2020,COVID,,https://www.instagram.com/p/CCKubEvlplxqReho_dTH3oDr71AMhRqMFkyt5I0/?igshid=14bcu15x1koke,0,1278917973990924288,,,,en,"Houston, TX",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","After 2 weeks of fighting #COVID and not being able to leave the apartment, I was finally able to go outside today for a walk with this little girl. This virus is no joke people so y’all… https://t.co/U6P5SK7OGo",https://twitter.com/Hillary_Till/status/1278917973990924288,Tue Jan 27 21:03:45 +0000 2009,Hillary_Till,false,"Food lover, dog owner, people person, sports nut, and healthcare marketer. Tottenham Hotspur, Houston Astros, Dallas Cowboys.",47,666,811,51,"Houston, TX",Hillary Till,Hillary_Till,4102,,,false
"4.70114708,50.87892393",Fri Jul 03 06:07:30 +0000 2020,,,https://www.instagram.com/p/CCK1a_iAiKj/?igshid=6kj04b3gilmr,0,1278933366864261126,,,,en,"Louvain, Belgium",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Hooray it’s todaaay 🎈Tonight I can finally celebrate my birthday with all my girls ánd at the party I’m gonna reveal the gender of our minibollie 👶🏼

Can you guess? Are we expecting a boy or a girl ? Due Corona I… https://t.co/pm8iqIDsLw",https://twitter.com/MassyCreations/status/1278933366864261126,Tue Feb 28 11:10:09 +0000 2012,MassyCreations,false,MAKE-UP ARTIST | HAIR STYLIST | BEAUTY EXPERT at MASSYMAGAZINE.be  MAIL nanja@massycreations.be / nanja@massymagazine.be  https://t.co/akFGfJmUgL,247,457,157,19,"Leuven, Belgium",Nanja Massy,MassyCreations,3522,,http://www.nanjamassy.be,false
"-81.65,30.33",Fri Jul 03 04:49:02 +0000 2020,Florida RonDesantis,,https://www.instagram.com/p/CCKsYQKFiR0/?igshid=15etpu8gt2ogz,1,1278913620282421249,,,,en,"Downtown Jacksonville, FL",false,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#Florida governor #RonDesantis boasting about Florida’s cases
 *one month later* 

Florida again breaks single-day record for new coronavirus cases.  @ Duval County, Florida https://t.co/16YVh8CPzd",https://twitter.com/iTeeRoy/status/1278913620282421249,Mon Jun 22 22:24:46 +0000 2009,iTeeRoy,false,I speak fluent Sarcasm....CONTACT INFO 888-772-6505,213,10952,1281,56,FOLLOW ME ON IG @iamTeeRoy,iamTeeRoy,iTeeRoy,92801,,,false
"-0.1094,51.5141",Fri Jul 03 06:19:49 +0000 2020,,,https://www.instagram.com/p/CCK21MjFmAW/?igshid=1hq7f11jl9dxe,0,1278936465704022016,,,,en,"City of London, London",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Friday!  Not just any Friday but the last one before lockdown on the hospitality sector in England eases tomorrow.  Let the (hopefully healthy) summer begin!!  We’re posting daisies today to celebrate.  Did you know… https://t.co/01oOX8gGZf,https://twitter.com/initiallylondon/status/1278936465704022016,Tue Oct 28 21:30:19 +0000 2014,initiallylondon,false,"We specialise in classic accessories, linens & gifts featuring fabulous embroidered monograms.  Our website's design tool has over 50 font styles & colours.",108,100,138,4,"21 Heathman’s Road, Studio G, SW6 4TJ.",Initially London Ltd,initiallylondon,744,,https://initiallylondon.com,false
"-124.082359,48.432718",Fri Jul 03 06:22:27 +0000 2020,covid19 phase2 bc,,https://www.instagram.com/p/CCK3IfaB4-cJqTwrTIxMaMr-3asndbNaugsgX00/?igshid=1kmqw8t2q842k,0,1278937130090270721,,,,en,"Capital H (Part 2), British Columbia",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",On the other side of a lockdown. On the west side of the country. #covid19 #phase2 #bc @jamblers chantellebellle @ Juan de Fuca Trail https://t.co/FvW5YkDbfp,https://twitter.com/UrbanJamie/status/1278937130090270721,Sat Jun 06 11:55:56 +0000 2009,UrbanJamie,false,A human in a city.,159,419,259,46,"Vancouver, British Columbia",Jamie Williams,UrbanJamie,1831,,http://www.jamiedwilliams.com,false
