State,Policy,Status
AL ,Status of Reopening,Paused
AL ,Stay at Home Order,Lifted
AL ,Mandatory Quarantine for Travelers,-
AL ,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
AL ,Large Gatherings Ban,Lifted
AL ,Restaurant Limits,Reopened to Dine-in Service
AL ,Bar Closures,Reopened
AL ,Face Covering Requirement,Required for General Public
AL ,Primary Election Postponement,-
AL ,Emergency Declaration,Yes
AK ,Status of Reopening,Proceeding with Reopening
AK ,Stay at Home Order,Lifted
AK ,Mandatory Quarantine for Travelers,All Travelers
AK ,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen
AK ,Large Gatherings Ban,Lifted
AK ,Restaurant Limits,Reopened to Dine-in Service
AK ,Bar Closures,Reopened
AK ,Face Covering Requirement,Required for Certain Employees
AK ,Primary Election Postponement,-
AK ,Emergency Declaration,Yes
AZ ,Status of Reopening,New Restrictions Imposed
AZ ,Stay at Home Order,Lifted
AZ ,Mandatory Quarantine for Travelers,Lifted
AZ ,Non-Essential Business Closures,New Business Closures or Limits
AZ ,Large Gatherings Ban,New Limit on Large Gatherings in Place
AZ ,Restaurant Limits,New Service Limits
AZ ,Bar Closures,Newly Closed
AZ ,Face Covering Requirement,Required for Certain Employees; Allows Local Officials to Require for General Public
AZ ,Primary Election Postponement,-
AZ ,Emergency Declaration,Yes
AR ,Status of Reopening,Paused
AR ,Stay at Home Order,-
AR ,Mandatory Quarantine for Travelers,Lifted
AR ,Non-Essential Business Closures,-
AR ,Large Gatherings Ban,Lifted
AR ,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
AR ,Bar Closures,Reopened
AR ,Face Covering Requirement,Required for General Public
AR ,Primary Election Postponement,-
AR ,Emergency Declaration,Yes
CA ,Status of Reopening,New Restrictions Imposed
CA ,Stay at Home Order,Statewide
CA ,Mandatory Quarantine for Travelers,-
CA ,Non-Essential Business Closures,New Business Closures or Limits
CA ,Large Gatherings Ban,All Gatherings Prohibited
CA ,Restaurant Limits,Newly Closed to Dine-in Service
CA ,Bar Closures,Newly Closed
CA ,Face Covering Requirement,Required for General Public
CA ,Primary Election Postponement,-
CA ,Emergency Declaration,Yes
CO ,Status of Reopening,New Restrictions Imposed
CO ,Stay at Home Order,Lifted
CO ,Mandatory Quarantine for Travelers,-
CO ,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
CO ,Large Gatherings Ban,Expanded to New Limit Below 25
CO ,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
CO ,Bar Closures,Newly Closed
CO ,Face Covering Requirement,Required for General Public
CO ,Primary Election Postponement,-
CO ,Emergency Declaration,Yes
CT ,Status of Reopening,Proceeding with Reopening
CT ,Stay at Home Order,Lifted
CT ,Mandatory Quarantine for Travelers,From Certain States (New)
CT ,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
CT ,Large Gatherings Ban,Expanded to New Limit of 25
CT ,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
CT ,Bar Closures,Closed
CT ,Face Covering Requirement,Required for General Public
CT ,Primary Election Postponement,Postponed
CT ,Emergency Declaration,Yes
DE ,Status of Reopening,New Restrictions Imposed
DE ,Stay at Home Order,Lifted
DE ,Mandatory Quarantine for Travelers,Lifted
DE ,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
DE ,Large Gatherings Ban,Expanded to New Limit Above 25
DE ,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
DE ,Bar Closures,New Service Limits
DE ,Face Covering Requirement,Required for General Public
DE ,Primary Election Postponement,Postponed
DE ,Emergency Declaration,Yes
DC ,Status of Reopening,Proceeding with Reopening
DC ,Stay at Home Order,Lifted
DC ,Mandatory Quarantine for Travelers,From Certain States (New)
DC ,Non-Essential Business Closures,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
DC ,Large Gatherings Ban,Expanded to New Limit Above 25
DC ,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
DC ,Bar Closures,Closed
DC ,Face Covering Requirement,Required for General Public
DC ,Primary Election Postponement,-
DC ,Emergency Declaration,Yes
FL ,Status of Reopening,New Restrictions Imposed
FL ,Stay at Home Order,Lifted
FL ,Mandatory Quarantine for Travelers,From Certain States
FL ,Non-Essential Business Closures,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
FL ,Large Gatherings Ban,Lifted
FL ,Restaurant Limits,Reopened to Dine-in Service with Capacity Limits
